work_year,job_title,job_category,salary_currency,salary_local,salary_in_usd,employee_residence,experience_level,employment_type,remote_ratio,company_location,company_country,company_size,data_source,work_setting_standardized
,Data Analyst,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Unknown,Glassdoor Data Analyst Jobs,
,Data Analyst/Rochade,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,"Data Analyst, Revenue Analytics",,USA,59500.0,59500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Unknown,Glassdoor Data Analyst Jobs,
,"Data Analyst II, Division of Gastroenterology (Research)",,USA,59500.0,59500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,"Data Analyst, Student Success Program",,USA,59500.0,59500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Big Data QA Analyst with Jupyter notebook,,USA,59500.0,59500.0,,,,,"Newark, NJ",United States,Medium,Glassdoor Data Analyst Jobs,
,"Analyst, Data Centers Industry",,USA,59500.0,59500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Unknown,Glassdoor Data Analyst Jobs,
,Financial - Data Analyst,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Analyst with Data Scanning and Profiling,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Business Analyst - Data Governance,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Senior Data Analyst - Health Economist,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Lead Data Insights Analyst,,USA,59500.0,59500.0,,,,,"Brooklyn, NY",United States,Unknown,Glassdoor Data Analyst Jobs,
,Research Analyst (Data Science),,USA,59500.0,59500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Management Analyst,,USA,59500.0,59500.0,,,,,"Brooklyn, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Business Analyst / Data Analyst,,USA,59500.0,59500.0,,,,,"Weehawken, NJ",United States,Small,Glassdoor Data Analyst Jobs,
,Healthcare Data/Reporting Analyst,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Clinical Data Analyst,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Sr. Data Profiling Analyst,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",,USA,59500.0,59500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,59500.0,59500.0,,,,,"Haworth, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,59500.0,59500.0,,,,,"Fort Lee, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,"Sr. Data Analyst, Revenue Analytics, Peacock",,USA,59500.0,59500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Senior Data Analyst,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Unknown,Glassdoor Data Analyst Jobs,
,Senior Data Analyst - Data Cataloging / Data Profiling,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data/Report Analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Senior Data Analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Human Capital Data Analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,GIS Data analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Junior Data Analytics Solutions Analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,85000.0,85000.0,,,,,"Jersey City, NJ",United States,Unknown,Glassdoor Data Analyst Jobs,
,Data Analyst w/Capital Markets,,USA,85000.0,85000.0,,,,,"Jersey City, NJ",United States,Medium,Glassdoor Data Analyst Jobs,
,"VP, Research Project Analyst/Data Management",,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Food Data Analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Management Analyst,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Governance Analyst,,USA,85000.0,85000.0,,,,,"Weehawken, NJ",United States,Large,Glassdoor Data Analyst Jobs,
,"Data Analyst, Enterprise Analytics",,USA,85000.0,85000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analytics Solutions Analyst - Mid with Security Clearance,,USA,85000.0,85000.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Analyst Assistant,,USA,85000.0,85000.0,,,,,"Newark, NJ",United States,Unknown,Glassdoor Data Analyst Jobs,
